session_id,channel,folder link
NV-AR-SS11-CONVO28,SPK06,https://drive.google.com/drive/folders/1ZMM2yKFMLZJT-6f3yLY6Nd2KQPKnEe4z
NV-AR-SS10-CONVO25,SPK01,https://drive.google.com/drive/folders/1lNxsLTAgKr3YbwFZcYt35aAirqzKKog5
NV-ES-SS09-CONVO22,SPK03,https://drive.google.com/drive/folders/1d_cWYR9FzP9idtlwu09D_G2jI33TsaDk
NV-ES-SS15-CONVO34,SPK03,https://drive.google.com/drive/folders/1WqCZZT0KgBEzcjHMuc5RuQs9DyXrcnz3
NV-ES-SS13-CONVO29,SPK03,https://drive.google.com/drive/folders/1tjs5eGYOusGse3E3s78Tesn0C9g9KZOE
NV-ES-SS11-CONVO25,SPK04,https://drive.google.com/drive/folders/1_TqGZNX-deOW6sWlpPobfWQ1lbGN_Z9i
NV-AR-SS13-CONVO33,SPK01,https://drive.google.com/drive/folders/1eNjczdIxcS0_a3EzSwfbXuMIQR8hZiUA
NV-ES-SS11-CONVO26,SPK04,https://drive.google.com/drive/folders/1RhxLhHXgZbe67uZkY_tIcxE_HGX3oCYi
NV-ES-SS14-CONVO33,SPK05,https://drive.google.com/drive/folders/1aSRLV00PBiMOJAqX3QPsQgG4Ksz5Cxzb
NV-AR-SS13-CONVO32,SPK04,https://drive.google.com/drive/folders/1-0NPtWEZznIH4FFD0t5SvVfvwOBq9fRL
NV-ES-SS16-CONVO32,SPK02,https://drive.google.com/drive/folders/1G88bQNFRtmyvrZtagQZro9kRwZ6svn0m
NV-AR-SS13-CONVO32,SPK01,https://drive.google.com/drive/folders/1-0NPtWEZznIH4FFD0t5SvVfvwOBq9fRL
NV-RU-SS11-CONVO25,SPK03,https://drive.google.com/drive/folders/1uhRCkanUdc5tpU4xYOhlqU1vbMJrXgmu
NV-AR-SS12-CONVO29,SPK06,https://drive.google.com/drive/folders/1YvldUQgNC2xUKQ0yl1RUEPsUdaHQ-1d_
NV-ES-SS09-CONVO20,SPK03,https://drive.google.com/drive/folders/1Ot59lyAYh0EK1dfvd-k8su7-2QMxUUk-
NV-AR-SS14-CONVO35,SPK01,https://drive.google.com/drive/folders/14ue12VDTV_COhVsfmV-CriJ8U89MLUXX
NV-AR-SS15-CONVO36,SPK01,https://drive.google.com/drive/folders/1XqHpD6NLwYnghbc5QFgDQ2dhEftanr6E
NV-EN-SS11-CONVO29,SPK01,https://drive.google.com/drive/folders/1F_3PWdY8cgZuuRtzhIOK9rPas1MHWl23
NV-EN-SS15-CONVO37,SPK06,https://drive.google.com/drive/folders/1B405TtmhaUQWdoxDMaJHSg3YBB33pMyC
NV-GR-SS15-CONVO26,SPK02,https://drive.google.com/drive/folders/1iPN0OWMYk-ImtMDFR3kdEa2ABsbWlWd8
NV-RU-SS11-CONVO24,SPK03,https://drive.google.com/drive/folders/1aXanLala9cZTUPiw200zoBTJL49YcB3W
NV-EN-SS18-CONVO42,SPK04,https://drive.google.com/drive/folders/1QsTJ4iQs8OyqxWzP0r0pv-mcSiKSY1uf
NV-EN-SS18-CONVO42,SPK06,https://drive.google.com/drive/folders/1QsTJ4iQs8OyqxWzP0r0pv-mcSiKSY1uf
NV-EN-SS19-CONVO44,SPK05,https://drive.google.com/drive/folders/1yCnBMckEGEGGti9NUwLwA3U6rCTAqVDe
NV-EN-SS19-CONVO44,SPK08,https://drive.google.com/drive/folders/1yCnBMckEGEGGti9NUwLwA3U6rCTAqVDe
NV-EN-SS19-CONVO44,SPK07,https://drive.google.com/drive/folders/1yCnBMckEGEGGti9NUwLwA3U6rCTAqVDe
NV-EN-SS20-CONVO46,SPK08,https://drive.google.com/drive/folders/1YIEiZVDfS6CuQqCY1XPiAlgOkWh9H_JJ
NV-EN-SS20-CONVO46,SPK07,https://drive.google.com/drive/folders/1YIEiZVDfS6CuQqCY1XPiAlgOkWh9H_JJ
NV-EN-SS21-CONVO48,SPK04,https://drive.google.com/drive/folders/1bWavk0p-034JBk6QNx4FNU6y_BZFB6a1
NV-EN-SS21-CONVO48,SPK06,https://drive.google.com/drive/folders/1bWavk0p-034JBk6QNx4FNU6y_BZFB6a1
