batch,delivery_date,session_id,language,iso,channel,wav_path,seglst_path,dnsmos_n_annotated_spans,dnsmos_annotated_speech_seconds,dnsmos_audio_duration_seconds,dnsmos_n_windows,dnsmos_scored_speech_seconds,dnsmos_sig,dnsmos_sig_std,dnsmos_bak,dnsmos_bak_std,dnsmos_ovrl,dnsmos_ovrl_std,dnsmos_speech_peak_dbfs,dnsmos_speech_rms_dbfs,dnsmos_full_scale_samples,dnsmos_speech_samples,dnsmos_full_scale_clipped_sample_ratio,dnsmos_pass,deter,deter_scored_speaker_time_seconds,deter_missed_speaker_time_seconds,deter_false_alarm_speaker_time_seconds,deter_speaker_error_time_seconds,deter_pass
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK01,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK01.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK01.seglst.json,91,215.76,1449.552,48,215.76,3.562108,0.181915,4.040261,0.205858,3.252356,0.237882,-0.00026507636037961915,-24.644,5,10356480,4.827895192188852e-07,True,0.010719,171.65,1.8,0.04,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK02,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK02.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK02.seglst.json,107,330.93,1449.2965625,68,330.93,3.326098,0.253169,3.864613,0.196608,2.926026,0.269421,-5.072801614772684,-31.73,0,15884640,0.0,True,0.001254,279.01,0.0,0.35,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK03,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK03.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK03.seglst.json,41,187.72,1449.4250208333333,29,187.72,3.229193,0.256488,3.548934,0.510492,2.72611,0.39118,-0.9992596859515884,-27.68,0,9010560,0.0,True,0.001307,168.33,0.14,0.08,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK04,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK04.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK04.seglst.json,88,201.27,1449.3275416666668,50,201.27,3.129995,0.267133,3.763329,0.334172,2.700421,0.290512,-2.4938281244200153,-34.194,0,9660960,0.0,True,0.005172,160.47,0.08,0.75,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK05,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK05.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK05.seglst.json,33,317.81,1449.28,47,317.82,3.633606,0.106136,4.156554,0.079622,3.390239,0.132811,-2.3058402313853916,-25.562,0,15254880,0.0,True,0.0,301.32,0.0,0.0,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK06,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK06.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK06.seglst.json,56,275.66,1449.1975416666667,51,275.66,3.549959,0.173242,4.085695,0.117178,3.237828,0.208218,-8.832433011172185,-33.867,0,13231680,0.0,True,0.006224,249.04,1.51,0.04,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS13-CONVO22,Greek,gr,SPK07,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK07.wav,Conversations/delivery_batch_08082026/NV-GR-SS13-CONVO22/SPK07.seglst.json,110,211.05,1449.451,69,211.05,3.308822,0.404037,4.077161,0.138629,3.01899,0.441312,-1.7950544319425372,-31.787,0,10130400,0.0,True,0.004853,160.73,0.75,0.03,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS19-CONVO32,Greek,gr,SPK01,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK01.wav,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK01.seglst.json,363,526.56,2193.1280208333333,184,526.56,3.104699,0.342333,3.993644,0.183488,2.86335,0.353598,-0.8907973284270027,-17.152,0,25274880,0.0,True,0.011773,360.14,0.19,4.05,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS19-CONVO32,Greek,gr,SPK02,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK02.wav,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK02.seglst.json,200,752.78,2192.93,145,752.77,3.527548,0.121678,4.000265,0.225867,3.189906,0.191517,-3.8534524051302235,-29.007,0,36133440,0.0,True,0.001435,654.87,0.25,0.69,0.0,True
delivery_batch_08082026,08/08/2026,NV-GR-SS19-CONVO32,Greek,gr,SPK03,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK03.wav,Conversations/delivery_batch_08082026/NV-GR-SS19-CONVO32/SPK03.seglst.json,220,554.25,2193.27,146,554.25,3.402355,0.233334,4.012998,0.23938,3.081076,0.291362,-3.096373190659656,-28.156,0,26604000,0.0,True,0.007733,461.65,1.91,1.66,0.0,True
